Symbol,Shortname,Revenuegrowth,Ebitda,Marketcap,Weight,Volatility,Average Close Price,Return,Average Volume,VIKOR Score (Q),Group Utility (S),Individual Regret (R),Rank
NVDA,NVIDIA Corporation,1.0,0.4518175821979716,1.0,1.0,0.1482818728351163,0.0980210031925723,0.3907387951756199,1.0,1.0,0.6471116775088926,0.2,1
MSFT,Microsoft Corporation,0.3504273504273504,1.0,0.983980203876144,0.9839802038761444,0.3287955117193364,0.3370848949159112,0.3776609177110546,0.1062978726178163,0.9316709727633403,0.573185960301969,0.19679604077522883,2
GOOG,Alphabet Inc.,0.3449328449328449,0.9048492277211422,0.7122634667205335,0.7122634667205333,0.1639575141619785,0.1434864237879461,0.2211629083161464,0.0888534260860248,0.6814377751886088,0.4482424523512906,0.1424526933441067,3
AMZN,"Amazon.com, Inc.",0.3199023199023199,0.818390239713908,0.7163374192279366,0.7163374192279361,0.1633010008708386,0.1690152122630297,0.2771566310233845,0.1826673309045196,0.6782810054085499,0.44153294512048413,0.14326748384558732,4
T,AT&T Inc.,0.2496947496947497,0.3179068146080967,0.0474707503684534,0.0474707503684533,0.0,0.0095757984570821,0.3717428700638259,0.1725705757410133,0.5748801814125032,0.29003944937665066,0.15,5
META,"Meta Platforms, Inc.",0.3681318681318681,0.5829207917485197,0.4467075096546494,0.4467075096546491,0.4993323866756864,0.4560472132082749,0.4562687238128313,0.0706128345765843,0.4697949580046143,0.3670255445553848,0.08934150193092988,6
TSLA,"Tesla, Inc.",0.3003663003663003,0.103130263153628,0.4084826098264515,0.408482609826452,0.6250238612945415,0.3248331665503919,0.3485513627423445,0.4361726517300195,0.3704862273906135,0.2698070998968963,0.08169652196529031,7
RTX,RTX Corporation,0.5531135531135531,0.0982352543263046,0.0449795476817764,0.0449795476817766,0.0416333997934982,0.0836916698822615,0.3704874210511839,0.024481519335717,0.3673716841986414,0.1669694774440481,0.11062271062271063,8
TDG,Transdigm Group Incorporated,0.3626373626373626,0.0350802284505901,0.0196809241597175,0.0196809241597175,1.0,1.0,0.3697678358076559,0.0009938546513526,0.36650055222489986,0.20223186858092676,0.1,9
MTD,"Mettler-Toledo International, I",0.2606837606837607,0.0151106790591736,0.0057717975038608,0.0057717975038605,0.9789013588602912,0.9645808138956656,0.3746592186257233,0.0,0.33186885664997373,0.17132593558296244,0.09645808138956657,10
AXON,"Axon Enterprise, Inc.",0.4462759462759463,0.0081338410340824,0.0125149922685241,0.0125149922685244,0.6203888274426314,0.4912573872343005,0.3620481067781157,0.0056856069352673,0.3043177597593334,0.16174218752413647,0.08925518925518927,11
NFLX,"Netflix, Inc.",0.3443223443223443,0.0793672899056767,0.1159259169414439,0.1159259169414442,0.659695506157845,0.710333215404729,0.3701982444606373,0.0132500423514372,0.28956045445299305,0.20575307333656798,0.07103332154047291,12
ANSS,"ANSYS, Inc.",0.4432234432234432,0.0128825709771303,0.0068713052383531,0.0068713052383522,0.1830814876234477,0.2590312746222037,0.3757973225920794,0.0018433363176225,0.283061607356122,0.1374236263524002,0.08864468864468865,13
PGR,Progressive Corporation (The),0.4157509157509158,0.085522786203733,0.04058680747487,0.0405868074748696,0.1363561704375897,0.1813300398700817,0.3702971731291509,0.0108022538382741,0.2743039648517407,0.1453426187685895,0.08315018315018316,14
EQIX,"Equinix, Inc.",0.3681318681318681,0.0311882772237182,0.025060104499765,0.0250601044997645,0.3607140293356783,0.725095165845672,0.3812759154002356,0.0016142123168975,0.27394110758936097,0.17747666957186886,0.07362637362637363,15
NDAQ,"Nasdaq, Inc.",0.4426129426129426,0.0250720149844424,0.0114485043200651,0.0114485043200647,0.0271778395013715,0.0530269496075441,0.3706234745885462,0.0129638308432913,0.26886146774245695,0.1202000028505409,0.08852258852258853,16
WELL,Welltower Inc.,0.4285714285714285,0.0281171149446491,0.0214591597740351,0.0214591597740352,0.057173536811843,0.0901417512206013,0.3713487584721148,0.015730770624281,0.2647799700634107,0.12473775272743265,0.0857142857142857,17
V,Visa Inc.,0.3241758241758242,0.1884401034356961,0.1847797498054964,0.1847797498054964,0.1631560846278193,0.2427375693768732,0.373243507445114,0.0318641878653606,0.2622770238464116,0.19306424708731576,0.06483516483516484,18
O,Realty Income Corporation,0.4273504273504273,0.0394272415063101,0.011917450731515,0.0119174507315137,0.0278768560159129,0.0332926144589571,0.3872656860083368,0.0222410444581941,0.2592989703579208,0.11876400542278935,0.08547008547008546,19
APH,Amphenol Corporation,0.4126984126984127,0.0328858396689583,0.0237314142906106,0.0237314142906108,0.0430632346936833,0.0475346397079819,0.4496204800853531,0.0305696322265467,0.25492402848249357,0.12335495271192762,0.08253968253968254,20
CLX,Clorox Company (The),0.4181929181929182,0.0167730535568633,0.004065333916456,0.0040653339164554,0.0334513623907678,0.1216533841372413,0.3635765320354904,0.0054140842763412,0.2536311828551955,0.11798901152477781,0.08363858363858365,21
PODD,Insulet Corporation,0.4096459096459097,0.0097876692157195,0.0035622559437601,0.0035622559437589,0.3078246063189533,0.2024509959868108,0.3597999592903105,0.0021682986687753,0.2528036696988148,0.1228095216400322,0.08192918192918194,22
ISRG,"Intuitive Surgical, Inc.",0.3559218559218559,0.0250218286816418,0.0546257698157567,0.054625769815757,0.3161341727231045,0.4062672411054819,0.3698340850826404,0.0055023275636387,0.24567760242532521,0.15071892122165484,0.07118437118437118,23
UBER,"Uber Technologies, Inc.",0.3772893772893773,0.0318581069345806,0.0367295932743589,0.0367295932743577,0.0288590417673132,0.0395777558713049,0.3941192644002203,0.1241322004556665,0.23362637748594478,0.12112581883006274,0.07545787545787547,24
INCY,Incyte Corporation,0.398046398046398,0.0073866508006784,0.0019107511939916,0.001910751193991,0.0424742859235874,0.0460541149978549,0.357278899431009,0.0098935257142621,0.23147910903285437,0.10425453569778269,0.0796092796092796,25
CME,CME Group Inc.,0.3656898656898657,0.037421539667898,0.0239942411860646,0.0239942411860647,0.0962962089513181,0.1800795705616414,0.3788436204394333,0.0099720702030303,0.2290664811727941,0.12339821818803394,0.07313797313797314,26
LRCX,Lam Research Corporation,0.373015873015873,0.0425878222849671,0.0259428030027016,0.0259428030027014,0.0641865273240109,0.0482830824658446,0.3896445072366686,0.0554283667787724,0.22703078411967087,0.11585614102778055,0.0746031746031746,27
BSX,Boston Scientific Corporation,0.3705738705738706,0.0363530758322045,0.0377069849135469,0.0377069849135462,0.0436089697124466,0.0619581384823388,0.3805577085206611,0.0247978340539984,0.2268828885822166,0.1173434222846016,0.07411477411477412,28
ICE,Intercontinental Exchange Inc.,0.3583638583638583,0.0472268256668095,0.0240997770858346,0.0240997770858339,0.0676056544979728,0.1103869115743946,0.3753676712121508,0.013841075156881,0.21946731393457056,0.1164858573463094,0.07167277167277167,29
ORCL,Oracle Corporation,0.2948717948717949,0.1653833842096442,0.1420364860149593,0.1420364860149586,0.1133655398211484,0.1257218129956843,0.3697341113727982,0.0375938488195799,0.21898361165728142,0.159331391851796,0.05897435897435898,30
ANET,"Arista Networks, Inc.",0.3748473748473748,0.0274092670565678,0.0410535564660337,0.0410535564660336,0.1578744888325114,0.0799540507277617,0.0,0.0341781233370548,0.21616286342994456,0.10110124330241133,0.07496947496947497,31
CRM,"Salesforce, Inc.",0.304029304029304,0.0747712352590548,0.0977877977073573,0.0977877977073568,0.3324659328437853,0.2635793608266684,0.4051938130145868,0.0285126811532278,0.21603439109301398,0.14940114624310114,0.060805860805860805,32
PWR,"Quanta Services, Inc.",0.3473748473748473,0.020395052078167,0.0126085157699686,0.0126085157699679,0.2487499034722571,0.2511638210094611,0.3605887043488047,0.0037435469668429,0.215961296734337,0.11964977674471505,0.06947496947496946,33
EQT,EQT Corporation,0.3717948717948718,0.0257203517077624,0.0056744384712542,0.0056744384712537,0.0217009577547813,0.0255843893807178,0.3698266436087338,0.0329307352658506,0.21570055135621724,0.10261566722952967,0.07435897435897436,34
FDX,FedEx Corporation,0.3376068376068376,0.0859722862588838,0.0180561209905134,0.018056120990512,0.5223927777892436,0.2096319049942427,0.3691010500788859,0.0075939271488556,0.21539634531287072,0.12563198614687934,0.06752136752136752,35
FCX,"Freeport-McMoRan, Inc.",0.3540903540903541,0.0788079769393854,0.0148449135139578,0.0148449135139574,0.023626668161414,0.0223292535527134,0.3746325566427568,0.0555739134161141,0.21256569392063548,0.11083599090625662,0.07081807081807083,36
VRTX,Vertex Pharmaceuticals Incorpor,0.3235653235653236,0.0391431572033278,0.0289615060101308,0.0289615060101305,0.2917026522284134,0.3052257077918606,0.3951174823454296,0.0056655563729103,0.21104517620087065,0.12983471286312837,0.06471306471306472,37
ALL,Allstate Corporation (The),0.3424908424908425,0.051845440223079,0.0134524271918399,0.0134524271918393,0.156460210478512,0.1445719801654674,0.3785697927403552,0.0062559899358499,0.20873088967091238,0.1140091999354103,0.0684981684981685,38
TT,Trane Technologies plc,0.3223443223443223,0.0336488211757806,0.0236605841930051,0.0236605841930051,0.1742418559571697,0.2897938568462236,0.3699437210804238,0.005140903487608,0.20595619075403288,0.12434797990224428,0.06446886446886446,39
CCL,Carnival Corporation,0.3455433455433455,0.0495543171705648,0.0085308888672626,0.0085308888672629,0.0332420486247211,0.0128550447378859,0.3698955676434404,0.1256856888330866,0.20329374209433815,0.10516565109328328,0.0691086691086691,40
MSI,"Motorola Solutions, Inc.",0.3089133089133089,0.0297269979919529,0.0217400861459801,0.0217400861459794,0.2686300816050295,0.3629176724742058,0.3852296363654904,0.0049537696545162,0.2019525297926868,0.12856467492950846,0.061782661782661785,41
CMCSA,Comcast Corporation,0.2924297924297924,0.2779975970921855,0.0423102568971145,0.0423102568971132,0.0166728655116803,0.021763817005093,0.3820092231702595,0.1017485355109606,0.2014686859456329,0.13924294565315617,0.05848595848595848,42
AJG,Arthur J. Gallagher & Co.,0.3253968253968253,0.0314013376579652,0.0193652347481601,0.0193652347481599,0.2020697223312652,0.2153397859378747,0.3750363207386445,0.0076810390771636,0.20113445664892735,0.11626898281131752,0.06507936507936506,43
ABBV,AbbVie Inc.,0.2759462759462759,0.1932187227918861,0.0921378643296004,0.0921378643296004,0.1316908638486383,0.1305643621831785,0.3622563911663357,0.0310275106901931,0.19664853381052183,0.14453405433196562,0.05518925518925519,44
PM,Philip Morris International Inc,0.304029304029304,0.1180916690107066,0.0565547962425335,0.056554796242533,0.0501429266383078,0.0897455240749842,0.3841884002446584,0.0233160581846016,0.1962609366537552,0.1248358256583331,0.060805860805860805,45
PKG,Packaging Corporation of Americ,0.3302808302808303,0.0186204990069724,0.0041015359801687,0.0041015359801676,0.0557540567035596,0.171791107433626,0.3718128352606018,0.0023515711992714,0.19553218676979392,0.1059670330366574,0.06605616605616606,46
HCA,"HCA Healthcare, Inc.",0.300976800976801,0.1067887893265917,0.0212446736362927,0.0212446736362917,0.1633833758966638,0.2316717309659654,0.3708098869915938,0.0061556412385263,0.19439182641356734,0.12460253028514783,0.060195360195360204,47
FTNT,"Fortinet, Inc.",0.3321123321123321,0.0193689336918962,0.0205112031146265,0.020511203114626,0.0929614250313909,0.0684176952141359,0.375164780280601,0.0211126724517502,0.19345790470315222,0.10213680973002714,0.06642246642246642,48
MRK,"Merck & Company, Inc.",0.2796092796092796,0.173565965476056,0.0732294733833694,0.0732294733833685,0.0324247058987799,0.0691920777146505,0.3565759954016447,0.0556743282315347,0.1881402148779569,0.1314573171740093,0.055921855921855924,49
KIM,Kimco Realty Corporation (HC),0.336996336996337,0.0154990573254426,0.0026777868128126,0.0026777868128127,0.0080701935739957,0.0101080244073015,0.3716792136685508,0.0190506344840377,0.18724380374606142,0.09107475874897862,0.06739926739926741,50
IRM,Iron Mountain Incorporated (Del,0.3272283272283273,0.0213624301648626,0.0072514328177255,0.0072514328177257,0.0899268466169871,0.0747224642084071,0.3646405149771488,0.0080011335341153,0.18657648140193855,0.09692978882891869,0.06544566544566546,51
PHM,"PulteGroup, Inc.",0.3247863247863248,0.0343581456244718,0.0047674096978952,0.0047674096978943,0.0488681934483017,0.078997852538612,0.3645052217984024,0.0088467703955746,0.18618028377580506,0.09810859488081239,0.06495726495726496,52
UHS,"Universal Health Services, Inc.",0.3211233211233211,0.0222503095207593,0.0014912395843001,0.0014912395842989,0.1067262075609681,0.1339735230155541,0.3749954502362838,0.0026955022646558,0.18591977614667704,0.10029148259521695,0.06422466422466422,53
FSLR,"First Solar, Inc.",0.3186813186813187,0.0192894061002027,0.0038137292936867,0.003813729293686,0.1973983748547531,0.1357243549022237,0.3871381284258751,0.0108960153222004,0.1853445995365181,0.10124793619301471,0.06373626373626375,54
DELL,Dell Technologies Inc.,0.3083028083028083,0.0702689878300003,0.0225163404157327,0.0225163404157315,0.1359053140993833,0.083349986984533,0.3653355389396613,0.0394838294053376,0.18468617857148661,0.10753177918585562,0.061660561660561664,55
EFX,"Equifax, Inc.",0.3095238095238095,0.019149276215731,0.0076130154639464,0.0076130154639462,0.1677225324851926,0.1960557578115121,0.3689180459843461,0.0052777398707518,0.1836237890227851,0.10537642313964496,0.0619047619047619,56
EIX,Edison International,0.3174603174603175,0.0536710686988285,0.007234275892688,0.0072342758926867,0.0366862662112812,0.0544495684504723,0.3684333562322177,0.0095314728813776,0.18210293857958948,0.09805620527429339,0.0634920634920635,57
MCD,McDonald's Corporation,0.2692307692307693,0.1075052172793524,0.0615973905253348,0.0615973905253347,0.1456479712371939,0.2229293559302719,0.375202865193369,0.0150250771215979,0.18145632282173962,0.13025548640742077,0.053846153846153856,58
PH,Parker-Hannifin Corporation,0.2600732600732601,0.0428930141428987,0.0231893532608046,0.0231893532608042,0.4173009003866363,0.5031346846411108,0.3711206158324471,0.0023262998404221,0.17974134891767846,0.134391224398028,0.052014652014652024,59
HIG,Hartford Financial Services Gro,0.3107448107448107,0.0377422977890068,0.007522322105447,0.0075223221054471,0.0735513161871212,0.0780595593875801,0.3875814077364483,0.0077382002332386,0.1780681572397525,0.09763893999012886,0.06214896214896214,60
CSGP,"CoStar Group, Inc.",0.3192918192918193,0.0080398685646183,0.0067790198077946,0.0067790198077949,0.0413463155851542,0.0480434980610945,0.3823131066257015,0.0118583920492589,0.17792374942505665,0.0916109751880418,0.06385836385836387,61
FOXA,Fox Corporation,0.3205128205128205,0.0288105472813527,0.0045488043303354,0.0045488043303353,0.0249781865939985,0.0307003341719291,0.3360905787809301,0.0182655393045543,0.17776369721634735,0.09057662741585872,0.0641025641025641,62
FOX,Fox Corporation,0.3205128205128205,0.0288105472813527,0.0045473659283814,0.0045473659283808,0.0216531143443431,0.0284464196688479,0.3504987992080888,0.0051326104082984,0.17763325102727126,0.09041456911372649,0.0641025641025641,63
DIS,Walt Disney Company (The),0.2753357753357753,0.1286381102321147,0.0595132207514663,0.0595132207514661,0.0499033022338705,0.0801580719477647,0.3713849910369607,0.0441635968506864,0.1773770252269013,0.12101007471715229,0.055067155067155066,64
HPE,Hewlett Packard Enterprise Comp,0.3144078144078144,0.0425063824262541,0.0065167771075979,0.0065167771075982,0.0183367879779749,0.0086734153451166,0.3722595762922408,0.0674639978705417,0.1772098248626243,0.09406607443845885,0.06288156288156288,65
BDX,"Becton, Dickinson and Company",0.2948717948717949,0.0439610646161012,0.017940430420893,0.0179404304208918,0.1248555593655692,0.1715099358856321,0.3765724892537692,0.0092304200401878,0.17717567321619015,0.10739178696644182,0.05897435897435898,66
ABT,Abbott Laboratories,0.2826617826617826,0.0855358797399365,0.0580695728608844,0.0580695728608833,0.0516856237123047,0.0818694147418581,0.3783478374243881,0.0244479634887529,0.17666330669646685,0.11511034216167117,0.056532356532356526,67
ESS,"Essex Property Trust, Inc.",0.2991452991452991,0.0148707072371636,0.0036229786546245,0.0036229786546239,0.1397616212167589,0.2158054885746109,0.3785115574532751,0.0010495782334176,0.17656203926274838,0.10370516526014299,0.05982905982905982,68
FDS,FactSet Research Systems Inc.,0.2826617826617826,0.01284659680295,0.0034619603812127,0.0034619603812125,0.2850706627408084,0.3744204578208234,0.3558251692884342,0.000657833448415,0.17638462897114265,0.11476413013870615,0.056532356532356526,69
BEN,"Franklin Resources, Inc.",0.3217338217338217,0.0190816337266523,0.0011435143108834,0.0011435143108829,0.0166158385971896,0.0078209456042419,0.3745386640309372,0.0188504222197538,0.1763651207521247,0.088003613474739,0.06434676434676434,70
BRO,"Brown & Brown, Inc.",0.3131868131868132,0.0179171608664288,0.0068234074487173,0.0068234074487172,0.0371469154508783,0.0729640174047857,0.3712761463405826,0.0054106724974827,0.17608381829834752,0.09350270208812601,0.06263736263736264,71
VRSK,"Verisk Analytics, Inc.",0.2954822954822955,0.0167148662692694,0.0097585574692848,0.0097585574692835,0.1318412031122643,0.2104597188760478,0.3708954712508091,0.0026781775584415,0.17498776532604493,0.10425591071947536,0.0590964590964591,72
UPS,"United Parcel Service, Inc.",0.2869352869352869,0.0941403216343937,0.0304631030839339,0.0304631030839328,0.1019706836103188,0.0910182633912194,0.369715397202028,0.0202998072999165,0.17429966864604984,0.10924962326871678,0.057387057387057384,73
LEN,Lennar Corporation,0.300976800976801,0.0470557755232087,0.0092150655032789,0.0092150655032781,0.060051627114054,0.1008522056602208,0.3762209674628961,0.0115893637783777,0.174181110940227,0.09949398355269594,0.060195360195360204,74
HLT,Hilton Worldwide Holdings Inc.,0.2912087912087912,0.0246719769167362,0.0163530431225869,0.016353043122587,0.1670118086318593,0.1888261745095153,0.3697570800675094,0.0060901765132468,0.17284926306427958,0.10452344808584808,0.058241758241758236,75
WTW,Willis Towers Watson Public Lim,0.2875457875457875,0.0255738798744413,0.0075991397378301,0.0075991397378302,0.2212896300130973,0.2425155630352376,0.3781041904193999,0.0031187408968715,0.17277497567878314,0.10693768434879453,0.057509157509157506,76
LH,Labcorp Holdings Inc.,0.2979242979242979,0.0189732601362578,0.0036905368855015,0.0036905368855018,0.0646687803977699,0.1723652257349779,0.3693096058654235,0.0019503309830966,0.17237385272277272,0.09933752931882373,0.05958485958485959,77
TJX,"TJX Companies, Inc. (The)",0.2869352869352869,0.0586242610897594,0.03954497393499,0.0395449739349891,0.048597330923811,0.0880535497815798,0.3710659946593936,0.0251748841718312,0.17221647180359662,0.10666158795939637,0.057387057387057384,78
GDDY,GoDaddy Inc.,0.2973137973137973,0.0141880828400068,0.0066423710000143,0.0066423710000132,0.1366430580004465,0.1540138652922259,0.370086046905958,0.0050552618885276,0.17075340169651396,0.09774213526748661,0.05946275946275947,79
